Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume KRW
1605855600.0,2020-11-20 07-AM,BTCKRW,20140000,20340000,20061000,20179000,361.41,7302968556.44
1605852000.0,2020-11-20 06-AM,BTCKRW,20095000,20140000,20048000,20140000,204.61,4112172907.89
1605848400.0,2020-11-20 05-AM,BTCKRW,20111000,20147000,20000000,20095000,264.29,5304702286.88
1605844800.0,2020-11-20 04-AM,BTCKRW,19890000,20151000,19866000,20111000,364.52,7308066180.11
1605841200.0,2020-11-20 03-AM,BTCKRW,19927000,19949000,19866000,19890000,103.52,2061272508.89
1605837600.0,2020-11-20 02-AM,BTCKRW,19900000,19971000,19863000,19927000,171.65,3419418095.61
1605834000.0,2020-11-20 01-AM,BTCKRW,19784000,19919000,19753000,19900000,101.56,2015280156.27
1605830400.0,2020-11-20 12-AM,BTCKRW,19799000,19918000,19761000,19784000,117.28,2327140913.98
1605826800.0,2020-11-19 11-PM,BTCKRW,19840000,19856000,19705000,19799000,151.91,3002779451.88
1605823200.0,2020-11-19 10-PM,BTCKRW,19872000,19919000,19840000,19840000,64.57,1282865992.18
1605819600.0,2020-11-19 09-PM,BTCKRW,19970000,20020000,19832000,19872000,101.87,2030527723.87
1605816000.0,2020-11-19 08-PM,BTCKRW,19880000,19975000,19844000,19970000,39.69,790905192.16
1605812400.0,2020-11-19 07-PM,BTCKRW,19851000,19910000,19803000,19880000,40.12,796130991.07
1605808800.0,2020-11-19 06-PM,BTCKRW,19897000,19954000,19827000,19851000,65.87,1311302652.71
1605805200.0,2020-11-19 05-PM,BTCKRW,19916000,19935000,19808000,19897000,81.16,1612866053.5
1605801600.0,2020-11-19 04-PM,BTCKRW,19942000,19987000,19806000,19916000,140.34,2789517453.5
1605798000.0,2020-11-19 03-PM,BTCKRW,19985000,20026000,19864000,19942000,315.35,6299496480.7
1605794400.0,2020-11-19 02-PM,BTCKRW,19892000,20000000,19762000,19985000,306.88,6104050534.29
1605790800.0,2020-11-19 01-PM,BTCKRW,19690000,19919000,19678000,19892000,293.0,5810529453.28
1605787200.0,2020-11-19 12-PM,BTCKRW,19748000,19799000,19608000,19690000,149.8,2950966981.93
